JUDUL BUKU;PENULIS/PENGARANG;PENERBIT;TANGGAL/BULAN/TAHUN PEROLEHAN;BARANG;HARGA SATUAN;HARGA TOTAL 
Indonesiaku 16 Provinsi Sumatera Barat;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Menghindari Berbagai bencana alam;Hardjana Hp.;Karya Mandiri Nusantara;3 JANUARI 2021;1; 33.300 ;33.300
Kisah Nabi Muhammad SAW;Slamet Al Baroq;Mediatama;3 JANUARI 2021;1; 34.500 ;34.500
Zamrud Khatulistiwa Indonesia;Nursanti Riandini;Bee Media Indonesia;3 JANUARI 2021;1; 50.000 ;50.000
Ensiklopedia Matematika Terapan Matematika dalam Makanan;Sue Thomson & Ian Forster;Cempaka Putih;3 JANUARI 2021;1; 37.500 ;37.500
Panduan Praktis Berbusana;Tita;Nobel Edumedia;3 JANUARI 2021;1; 30.000 ;30.000
Sejarah Perkembangan Islam;N. Abbas Wahid;Tiga Serangkai;3 JANUARI 2021;1; 32.000 ;32.000
Menggapai Kesuksesan Masa Depan ;Suranto, ZHA, Khonsa Siswaya;Karya Mandiri Nusantara;3 JANUARI 2021;1; 33.500 ;33.500
Selayang Pandang Indonesiaku;Drs. Warsito Adnan, M.Pd., Dra. Yuyunita, D.A., Drs. Purwanto J. Sulistiono;Tiga Serangkai;3 JANUARI 2021;1; 38.000 ;38.000
Berjuta Keajaiban Dunia Tumbuhan;Suryati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Madu Asli atau Tidak?;M. Sadyi Masun;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
Dosa-Dosa Besar Meruntuhkan Amal dan Kebajikan;Prof. Desteghib;Trisula Adisakti;3 JANUARI 2021;1; 37.500 ;37.500
Waspada Banjir dan Tanah Longsor 2;Adcharina Pratiwi, Suparti;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
